id,year,month,day,hour,minute,second,Humidity,Temperature (Celcius),Temperature (Fahrenheit),BOX 01 DoorStatus,BOX 02 DoorStatus,BOX 03 DoorStatus,BOX 04 DoorStatus,BOX 05 DoorStatus,BOX 06 DoorStatus
112,2016,12,14,11,41,24,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
113,2016,12,14,11,41,27,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
114,2016,12,14,11,41,29,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
115,2016,12,14,11,41,31,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
116,2016,12,14,11,41,34,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
117,2016,12,14,11,41,36,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
118,2016,12,14,11,41,38,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
119,2016,12,14,11,41,40,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
120,2016,12,14,11,41,43,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
121,2016,12,14,11,41,45,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
122,2016,12,14,11,41,47,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
123,2016,12,14,11,41,49,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
124,2016,12,14,11,41,52,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
125,2016,12,14,11,41,54,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
126,2016,12,14,11,41,56,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
127,2016,12,14,11,41,59,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
128,2016,12,14,11,42,1,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
129,2016,12,14,11,42,3,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
130,2016,12,14,11,42,5,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
131,2016,12,14,11,42,8,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
132,2016,12,14,11,42,10,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
133,2016,12,14,11,42,12,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
134,2016,12,14,11,42,14,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
135,2016,12,14,11,42,17,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
136,2016,12,14,11,42,19,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
137,2016,12,14,11,42,21,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
138,2016,12,14,11,42,24,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
139,2016,12,14,11,42,26,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
140,2016,12,14,11,42,28,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
141,2016,12,14,11,42,30,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
142,2016,12,14,11,42,33,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
143,2016,12,14,11,42,35,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
144,2016,12,14,11,42,37,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
145,2016,12,14,11,42,40,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
146,2016,12,14,11,42,42,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
147,2016,12,14,11,42,44,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
148,2016,12,14,11,42,46,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
149,2016,12,14,11,42,49,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
150,2016,12,14,11,42,51,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
151,2016,12,14,11,42,53,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
152,2016,12,14,11,42,55,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
153,2016,12,14,11,42,58,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
154,2016,12,14,11,43,0,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
155,2016,12,14,11,43,2,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
156,2016,12,14,11,43,5,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
157,2016,12,14,11,43,7,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
158,2016,12,14,11,43,9,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
159,2016,12,14,11,43,11,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
160,2016,12,14,11,43,14,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
161,2016,12,14,11,43,16,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
162,2016,12,14,11,43,18,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
163,2016,12,14,11,43,20,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
164,2016,12,14,11,43,23,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
165,2016,12,14,11,43,25,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
166,2016,12,14,11,43,27,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
167,2016,12,14,11,43,30,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
168,2016,12,14,11,43,32,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
169,2016,12,14,11,43,34,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
170,2016,12,14,11,43,36,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
171,2016,12,14,11,43,39,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
172,2016,12,14,11,43,41,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
173,2016,12,14,11,43,43,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
174,2016,12,14,11,43,45,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
175,2016,12,14,11,43,48,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
176,2016,12,14,11,43,50,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
177,2016,12,14,11,43,52,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
178,2016,12,14,11,43,55,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
179,2016,12,14,11,43,57,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
180,2016,12,14,11,43,59,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
181,2016,12,14,11,44,1,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
182,2016,12,14,11,44,4,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
183,2016,12,14,11,44,6,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
184,2016,12,14,11,44,8,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
185,2016,12,14,11,44,11,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
186,2016,12,14,11,44,13,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
187,2016,12,14,11,44,15,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
188,2016,12,14,11,44,17,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
189,2016,12,14,11,44,20,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
190,2016,12,14,11,44,22,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
191,2016,12,14,11,44,24,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
192,2016,12,14,11,44,26,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
193,2016,12,14,11,44,29,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
194,2016,12,14,11,44,31,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
195,2016,12,14,11,44,33,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
196,2016,12,14,11,44,36,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
197,2016,12,14,11,44,38,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
198,2016,12,14,11,44,40,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
199,2016,12,14,11,44,42,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
200,2016,12,14,11,44,45,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
201,2016,12,14,11,44,47,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
202,2016,12,14,11,44,49,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
203,2016,12,14,11,44,51,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
204,2016,12,14,11,44,54,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
205,2016,12,14,11,44,56,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
206,2016,12,14,11,44,58,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
207,2016,12,14,11,45,1,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
208,2016,12,14,11,45,3,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
209,2016,12,14,11,45,5,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
210,2016,12,14,11,45,7,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
211,2016,12,14,11,45,10,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
212,2016,12,14,11,45,12,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
213,2016,12,14,11,45,14,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
214,2016,12,14,11,45,17,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
215,2016,12,14,11,45,19,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
216,2016,12,14,11,45,21,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
217,2016,12,14,11,45,23,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
218,2016,12,14,11,45,26,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
219,2016,12,14,11,45,28,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
220,2016,12,14,11,45,30,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
221,2016,12,14,11,45,32,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
222,2016,12,14,11,45,35,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
223,2016,12,14,11,45,37,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
224,2016,12,14,11,45,39,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
225,2016,12,14,11,45,42,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
226,2016,12,14,11,45,44,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
227,2016,12,14,11,45,46,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
228,2016,12,14,11,45,48,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
229,2016,12,14,11,45,51,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
230,2016,12,14,11,45,53,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
231,2016,12,14,11,45,55,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
232,2016,12,14,11,45,57,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
233,2016,12,14,11,46,0,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
234,2016,12,14,11,46,2,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
235,2016,12,14,11,46,4,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
236,2016,12,14,11,46,7,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
237,2016,12,14,11,46,9,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
238,2016,12,14,11,46,11,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
239,2016,12,14,11,46,13,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
240,2016,12,14,11,46,16,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
241,2016,12,14,11,46,18,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
242,2016,12,14,11,46,20,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
243,2016,12,14,11,46,22,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
244,2016,12,14,11,46,25,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
245,2016,12,14,11,46,27,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
246,2016,12,14,11,46,29,33.0,26.0,78.0,1.0,1.0,0.0,1.0,1.0,1.0
